devicenum,organization,organizationdevicenum,site,address,longitude,latitude,uniqueidentifier,stathingid,stadatastreamid,iotdeviceid,iotprimarythumbnail,iotsecondarythumbnail,mqttgateway,mqttgroup
1,UniversityOfLafayette,1,Research Park - CGI,"538 Cajundome Blvd, Lafayette, LA 70506",-92.0421154,30.2210853,,,,,,,1,1
2,UniversityOfLafayette,2,Research Park - Bus Stop at Athlectics Complex,"Reinhardt Drive, Lafayette, LA 70506",-92.040337,30.2151275,,,,,,,1,1
3,UniversityOfLafayette,3,Main Campus - Rex Street Bus Stop on Main Campus,"110 Rex Street, Lafayette, LA 70503",-92.0212109,30.212946,,,,,,,1,1
4,UniversityOfLafayette,4,Main Campus - Taft Street Parking Garage,"714 W. Taft St. Lafayette, LA 70503",-92.0159061,30.2108141,,,,,,,1,1
5,UniversityOfLafayette,5,Main Campus - Stokes Hall Parking Garage,"311 East Lewis St. Lafayette, LA 70503",-92.0219189,30.20943299999999,,,,,,,1,1
6,UniversityOfLafayette,6,Main Campus - Olivier Oarking Garage,"619 McKinley St. Lafayette, LA 70504",-92.0163517,30.2118751,,,,,,,1,1
7,UniversityOfLafayette,7,Main Campus - UL Child Devleopment Center,"160 East Lewis Lafayette, LA 70504",-92.0238514,30.2108826,,,,,,,1,1
8,UniversityOfLafayette,8,Ecology Center,"703 Thoroughbred Drive Lafayette, LA 70507",-92.00943199999999,30.30477,,,,,,,1,1
9,UniversityOfLafayette,9,Ecology Center,"704 Thoroughbred Drive Lafayette, LA 70507",-92.0097669,30.304188,,,,,,,1,1
10,UniversityOfLafayette,10,Cade Farm,"1177 W.J. Bernard Rd. St. Martinville, LA 70582",-91.8698593,30.0935224,,,,,,,1,1
11,UniversityOfLafayette,11,Cade Farm,"1178 W.J. Bernard Rd. St. Martinville, LA 70582",,30.0934614,,,,,,,1,1
12,UniversityOfLafayette,12,Slemco Energy Center,"3420 NE Evangeline Throughway Lafayette, LA",-92.026336,30.303044,,,,,,,1,1
13,Lafayette Consolidated Government Offices,1,Rosa Parks Transportation Center,"101 Jefferson St. Lafayette, LA 70501",-92.01500639999999,30.2265078,,,,,,,1,2
14,Lafayette Consolidated Government Offices,2,City Hall,"705 W. University Ave Lafayette, LA 70506",-92.0247327,30.22054589999999,,,,,,,1,2
15,Lafayette Consolidated Government Offices,3,Public Works Building,"400 Dorset Ave. Lafayette, LA 70501",-92.003906,30.2114844,,,,,,,1,2
16,Lafayette Consolidated Government Offices,4,Clifton Chenier Center,"705 W. University Ave Lafayette, LA 70506",-92.0247327,30.22054589999999,,,,,,,1,2
17,Lafayette Consolidated Government Offices,5,LUS,"1314 Walker Rd, Lafayette, LA 70506-1100",-92.048464,30.23637,,,,,,,1,2
18,Lafayette Consolidated Government Offices,6,Department of Environmental Quality,"400 Dugas Rd, Lafayette, LA",-92.061082,30.286297,,,,,,,1,2
19,Lafayette Public School System,1,Acadiana Middle ,"4201 Moss Street, Lafayette, LA 70507",-92.008337,30.284651,,,,,,,0,3
20,Lafayette Public School System,2,Acadiana High,"315 Rue Du Be'Lier, Lafayette, LA 70506",-92.0910646,30.2044888,,,,,,,0,3
21,Lafayette Public School System,3,Alice Boucher Elementary,"400 Patterson Street,  Lafayette, LA 70501",-92.019491,30.24932,,,,,,,0,3
22,Lafayette Public School System,4,Broadmoore Elementary  ,"609 Broadmoor Boulevard, Lafayette, La 70503",-92.0590503,30.1725249,,,,,,,0,3
23,Lafayette Public School System,5,Broussard Middle ,"1325 S. Morgan Avenue, Broussard, LA 70518",-91.96394010000002,30.1250471,,,,,,,0,3
24,Lafayette Public School System,6,Carencro Heights Elementary ,"601 Tee Ma Road, Carencro, LA 70520",-92.04121400000001,30.316015,,,,,,,0,3
25,Lafayette Public School System,7,Carencro Middle,"4301 N. University Avenue, Carencro, LA 70520",-92.0506032,30.3166245,,,,,,,0,3
26,Lafayette Public School System,8,Carencro High,"721 W. Butcher Switch Road, Lafayette, LA 70507",-92.0402355,30.2860564,,,,,,,0,3
27,Lafayette Public School System,9,Charles M. Burke Elementary,"2845 Ridge Road,  Duson, LA 70529",-92.1741449,30.1809147,,,,,,,0,3
28,Lafayette Public School System,10,Comeaux High,"100 W. Bluebird Drive, Lafayette, LA 70508",-92.03195,30.156944,,,,,,,0,3
29,Lafayette Public School System,11,Duson Elementary,"301 Fourth St.reet, Duson, LA 70529",-92.18160619999999,30.2387015,,,,,,,0,3
30,Lafayette Public School System,12,Early College Academy,"320 Devalcourt, Lafayette, LA 70506",-92.05424599999999,30.216481,,,,,,,0,3
31,Lafayette Public School System,13,Edgar Martin Middle ,"401 Broadmoor Boulevard, Lafayette, LA 70503",-92.06406799999999,30.176687,,,,,,,0,3
32,Lafayette Public School System,14,Ernest Gallet,"2901 E. Milton Avenue, Youngsville, LA 70592",-92.01300900000001,30.110226,,,,,,,0,3
33,Lafayette Public School System,15,Evangeline Elementary ,"610 E. Butcher Switch, Lafayette, LA 70507",-92.01037409999999,30.2838258,,,,,,,0,3
34,Lafayette Public School System,16,Green T. Lindon ,"603 Avenue B, Youngsville, LA 70592",-91.99765699999999,30.095198,,,,,,,0,3
35,Lafayette Public School System,17,Judice Middle,"2645 S. Fieldspan Road, Duson, LA 70529",-92.14028619999999,30.1673699,,,,,,,0,3
36,Lafayette Public School System,18,J. W. Faulk ,"711 E. Willow Street, Lafayette, LA 70501",-91.99933899999999,30.246012,,,,,,,0,3
37,Lafayette Public School System,19,J. W. James ,"1500 W. Willow Street, Scott, LA 70583",-92.0442209,30.245616,,,,,,,0,3
38,Lafayette Public School System,20,Katharine Drexel Elementary,"409 St. Deporres Street, Broussard, LA 70518",-91.957251,30.139783,,,,,,,0,3
39,Lafayette Public School System,21,Lafayette Middle ,"1301 W. University,  Lafayette, LA 70506",-92.028009,30.224604,,,,,,,0,3
40,Lafayette Public School System,22,Lafayette High,"3000 W. Congress Street, Lafayette, LA 70506",-92.058272,30.207521,,,,,,,0,3
41,Lafayette Public School System,23,L. G. Alleman (Middle),"600 Roselawn Boulevard, Lafayette, LA 70503",-92.0424767,30.1913178,,,,,,,0,3
42,Lafayette Public School System,24,L. Leo Judice     ,"5801 Cameron Street, Scott, LA 70583",-92.094752,30.233001,,,,,,,0,3
43,Lafayette Public School System,25,Live Oak Elementary ,"3020 N. University Avenue, Lafayette, LA 70507",-92.0484793,30.2864919,,,,,,,0,3
44,Lafayette Public School System,26,Milton Elementary/Middle,"222 W. Milton Avenue, Milton, LA 70558",-92.07674,30.10497,,,,,,,0,3
45,Lafayette Public School System,27,Myrtle Place (Elementary) ,"1100 Myrtle Place Boulevard, Lafayette, LA 70506",-92.03109599999999,30.227349,,,,,,,0,3
46,Lafayette Public School System,28,Northside High,"301 Dunand Street,  Lafayette, LA 70501",-92.002838,30.251483,,,,,,,0,3
47,Lafayette Public School System,29,Ossun Elementary ,"400 Rue Scholastique, Lafayette, LA 70507",-92.09653569999999,30.2871543,,,,,,,0,3
48,Lafayette Public School System,30,Paul Breaux (Middle) ,"1400 S. Orange Street, Lafayette, LA 70501",-91.99835039999999,30.2188791,,,,,,,0,3
49,Lafayette Public School System,31,Plantation Elementary ,"1801 Kaliste Saloom Road, Lafayette, LA 70508",-92.032749,30.168443,,,,,,,0,3
50,Lafayette Public School System,32,Prairie Elementary,"2910 Ambassador Caffery Parkway, Lafayette, LA 70506",-92.07602,30.194598,,,,,,,0,3
51,Lafayette Public School System,33,Ridge Elementary,"2901 South Fieldspan Road, Duson, LA 70529",-92.140259,30.159391,,,,,,,0,3
52,Lafayette Public School System,34,Scott Middle,"116 Marie Street, Scott, LA 70583",-92.0926762,30.2300115,,,,,,,0,3
53,Lafayette Public School System,35,S. J. Montgomery (Elementary) ,"601 Foreman Drive,  Lafayette, LA 70501",-92.0599924,30.2114378,,,,,,,0,3
54,Lafayette Public School System,36,Southside High,"312 Almonaster Road,  Youngsville, LA 70592",-91.97442129999999,30.087387,,,,,,,0,3
55,Lafayette Public School System,37,STEM Academy (Middle),"805 Teurlings Drive, Lafayette, LA 70501",-91.990089,30.2483376,,,,,,,0,3
56,Lafayette Public School System,38,Truman Elementary,"200 Clara Street, Lafayette, LA 70501",-92.03206519999999,30.2485131,,,,,,,0,3
57,Lafayette Public School System,39,Westside Elementary,"912 Delhomme Avenue, Scott, LA 70583",-92.10266,30.236297,,,,,,,0,3
58,Lafayette Public School System,40,Woodvale Elementary ,"100 Leon Drive, Lafayette, LA 70503",-92.044076,30.196803,,,,,,,0,3
59,Lafayette Public School System,41,Youngsville Middle ,"600 Church Street, Youngsville, LA 70592",-91.99590599999999,30.098828,,,,,,,0,3
60,Lafayette Public Library System,1,Main Library,"301 W. Congress Street, Lafayette, LA 70501",-92.02021990000001,30.2261627,,,,,,,0,4
61,Lafayette Public Library System,2,Butler Memorial Branch,"309 Cora Stree, Lafayette, LA 70501",-92.02617,30.2477854,,,,,,,0,4
62,Lafayette Public Library System,3,Chenier Branch,"220 West Willow Street, Bldg C, Lafayette, LA 70501",-92.01639999999999,30.24572,,,,,,,0,4
63,Lafayette Public Library System,4,Duson Branch,"310 Avenue au Nord, Duson, LA 70529",-92.18166289999999,30.2374514,,,,,,,0,4
64,Lafayette Public Library System,5,East Regional Library,"215 La Neuville Road, Youngsville, LA 70591",-91.995997,30.144095,,,,,,,0,4
65,Lafayette Public Library System,6,Milton Branch,"108 W. Milton Avenue,  Milton, LA 70558",-92.074389,30.1051772,,,,,,,0,4
66,Lafayette Public Library System,7,North Regional Library,"5101 North University Avenue , Carencro, LA 70520",-92.050061,30.3279293,,,,,,,0,4
67,Lafayette Public Library System,8,Scott Branch,"5808 West Cameron Street, Scott, LA 70583",-92.09496039999999,30.2338971,,,,,,,0,4
68,Lafayette Public Library System,9,South Regional Library,"6101 Johnston Street, Lafayette, LA 70503",-92.0818338,30.1664641,,,,,,,0,4
69,Hospitals,1,Lafayette General Medical Center,"1214 Coolidge Street, Lafayette, LA 70503",-92.0195301,30.2024457,,,,,,,0,5
70,Hospitals,2,Medical Center of Southwest Louisiana,"2810 Ambassardor Caffery Parkway, Lafayette, LA 70506",-92.0772429,30.1979657,,,,,,,0,5
71,Hospitals,3,Our Lady of Lordes ,"4801 Ambassador Caffery Parkway, Lafayette, LA 70508",-92.03698299999999,30.150517,,,,,,,0,5
72,Hospitals,4,"Surgery Center, Inc.","1101 S College Rd. #100, Lafayette, LA 70503",-92.02753949999999,30.2002554,,,,,,,0,5
73,Hospitals,5,University Medical Center,"2390 West Congress Street, Lafayette, LA 70506",-92.0466828,30.217408,,,,,,,0,5
74,Hospitals,6,Women's & Childrens,"4600 Ambassador Caffery Parkway, Lafayette, LA 70508",-92.0462694,30.1525355,,,,,,,0,5
75,Bayou Vermilion District Boat Launch Locations,1,North Boat Landing,"3604 Shadow Bluff Drive, Lafayette, LA 70507",-91.9843695,30.2711098,,,,,,,0,6
76,Bayou Vermilion District Boat Launch Locations,2,Beaver Park Launch,"1632 Surrey Street, Lafayette, LA 70508",-91.997901,30.211733,,,,,,,0,6
77,Bayou Vermilion District Boat Launch Locations,3,Rotary Point,"W. Bayou Parkway, Lafayette, LA 70503",-92.0354462,30.1922482,,,,,,,0,6
78,Bayou Vermilion District Boat Launch Locations,4,Nature Station,"1205 East Alexander Street, Lafayette, LA 70501 ",-91.9866162,30.2536175,,,,,,,0,6
79,Bayou Vermilion District Boat Launch Locations,5,Vermillionville,"300 Fisher Road, Lafayette, LA 70508",-91.9963731,30.2143755,,,,,,,0,6
80,Bayou Vermilion District Boat Launch Locations,6,Camellia Bridge," Bellaire Road, Lafayette, LA 70503",-92.0473749,30.1813219,,,,,,,0,6
81,Bayou Vermilion District Boat Launch Locations,7,Southside Park,"632 E Broussard Road, Lafayette, LA 70503",-92.07867259999999,30.1400971,,,,,,,0,6
82,Lafayette Parks and Recreation,1,Acadiana Park,"1005 E Alexander St.,Lafayette, LA 70501",-91.98911199999999,30.25445,,,,,,,0,7
83,Lafayette Parks and Recreation,2,Arceneaux Park,"835 E. Main St., Broussard, LA 70518",-91.952219,30.14739,,,,,,,0,7
84,Lafayette Parks and Recreation,3,Beaullieu Park,"411 W. Bluebird Dr.,Lafayette, LA 70508",-92.0335516,30.1530977,,,,,,,0,7
85,Lafayette Parks and Recreation,4,Beaver Park,"1632 Surrey Street,Lafayette, LA 70508",-91.997901,30.211733,,,,,,,0,7
86,Lafayette Parks and Recreation,5,Broadmoor Park,"605 Broadmoor Blvd. ,Lafayette, LA 70503",-92.059805,30.173409,,,,,,,0,7
87,Lafayette Parks and Recreation,6,Carencro Park,"4300 N University Ave.,Carencro, LA 70520",-92.0504211,30.3100581,,,,,,,0,7
88,Lafayette Parks and Recreation,7,Chargois Park,"606 Guilbeau Rd.,Lafayette, LA 70520",-92.03662949999999,30.3194976,,,,,,,0,7
89,Lafayette Parks and Recreation,8,City Park,"901 Mudd Ave.,Lafayette, LA 70501  ",-92.006945,30.232954,,,,,,,0,7
90,Lafayette Parks and Recreation,9,City Park,"901 Mudd Ave. ,Lafayette, LA 70501 ",-92.006945,30.232954,,,,,,,0,7
91,Lafayette Parks and Recreation,10,Deballion Park,"510 Saucier Pkwy.,Lafayette, LA 70506",-92.041737,30.240194,,,,,,,0,7
92,Lafayette Parks and Recreation,11,Dorsey Park,"310 Cora St. ,Lafayette, LA 70501",-92.02586,30.246729,,,,,,,0,7
93,Lafayette Parks and Recreation,12,Duson Park,"101 B. Robin Rd.,Duson, LA 70529",-92.1844934,30.2261815,,,,,,,0,7
94,Lafayette Parks and Recreation,13,Dalton Park,"2036 Carmel Dr.,Lafayette, LA 70501",-91.97156299999999,30.236959,,,,,,,0,7
95,Lafayette Parks and Recreation,14,Derby Playground,"105 Aris Dr.,Lafayette, LA 70501  ",-91.973878,30.239828,,,,,,,0,7
96,Lafayette Parks and Recreation,15,Eraste Landry Playground,"1000 Jeanne St.,Lafayette, LA 70506",-92.0390989,30.228746,,,,,,,0,7
97,Lafayette Parks and Recreation,16,Foster Memorial Park,"399 4th st.,Youngsville, LA 70592",-91.99557899999999,30.09425599999999,,,,,,,0,7
98,Lafayette Parks and Recreation,17,Girard Park,"500 Girard Park DR.,Lafayette, LA 70503 ",-92.02002399999999,30.206572,,,,,,,0,7
99,Lafayette Parks and Recreation,18,Graham Brown Memorial Park,"1234 E. Pont des Mouton Rd.,Lafayette, LA 70507     ",-91.99650299999999,30.27116699999999,,,,,,,0,7
100,Lafayette Parks and Recreation,19,Heymann Memorial Park,"1500 South Orange St.,Lafayette, LA 70501",-91.9964789,30.218949,,,,,,,0,7
101,Lafayette Parks and Recreation,20,I.R. Bud Chalmers Park,"2129 N. University,Lafayette, LA 70507",-92.043615,30.262034,,,,,,,0,7
102,Lafayette Parks and Recreation,21,I.R. Bud Chalmers Park,"2129 N. University,Lafayette, LA 70507",-92.043615,30.262034,,,,,,,0,7
103,Lafayette Parks and Recreation,22,J. W. James Park,"1010 Hopkins St.,Lafayette, LA 70501",-92.02806199999999,30.234034,,,,,,,0,7
104,Lafayette Parks and Recreation,23,Judice Park,"500 Golden Grain Rd.,Duson, LA ",-92.153105,30.161906,,,,,,,0,7
105,Lafayette Parks and Recreation,24,Lil Woods Park,"200 Ile De Copales Ave.,Lafayette, LA 70501",-92.00311099999999,30.214811,,,,,,,0,7
106,Lafayette Parks and Recreation,25,Maurice Heymann Memorial,"700 Girard Park Dr.,Lafayette, LA 70503",-92.02283,30.200747,,,,,,,0,7
107,Lafayette Parks and Recreation,26,Moore Park ,"250 Couret Dr.,Lafayette, LA 70507",-92.030659,30.258358,,,,,,,0,7
108,Lafayette Parks and Recreation,27,Mouton Park,"803 Center St.,Lafayette, LA",-91.993804,30.240311,,,,,,,0,7
109,Lafayette Parks and Recreation,28,Pa Davis Park,"120 Dawn St.,Lafayette, LA 70501",-91.98914599999999,30.225859,,,,,,,0,7
110,Lafayette Parks and Recreation,29,Parc de Lafayette,"539 Jefferson St.,Lafayette, LA 70501",-92.01853899999999,30.224649,,,,,,,0,7
111,Lafayette Parks and Recreation,30,Parc Sans Souci,"201 E. Vermillion St.,Lafayette, LA 70501",-92.017437,30.224518,,,,,,,0,7
112,Lafayette Parks and Recreation,31,Picard Park,"130 Park Ln.,Lafayette, LA 70508",-92.0729379,30.117812,,,,,,,0,7
113,Lafayette Parks and Recreation,32,Plantation Park,"1801 Kaliste Saloom Rd.,Lafayette, LA 70508  ",-92.032749,30.168443,,,,,,,0,7
114,Lafayette Parks and Recreation,33,Scott Park,"1200 Cormier St.,Scott, LA 70583",-92.09504559999999,30.2399292,,,,,,,0,7
115,Lafayette Parks and Recreation,34,Southside Regional Park,"221 La Neuville Rd.,Youngsville, LA 70592  ",-91.997288,30.144154,,,,,,,0,7
116,Lafayette Parks and Recreation,35,Thomas Park,"300 Geraldine Dr.,Lafayette, LA 70503",-92.06245799999999,30.185403,,,,,,,0,7
117,Lafayette Parks and Recreation,36,Veterans Park,"200 Feu Follet Rd.,Lafayette, LA 70508   ",-92.01534799999999,30.181739,,,,,,,0,7
118,Intersections,1,PINHOOK @ SIMCOE,"2005,E Simcoe St,Lafayette,LA,US,70501",-91.995072,30.226246000000003,,,,,,,0,8
119,Intersections,2,SIMCOE @ 12TH,"1402,12th St,Lafayette,LA,US,70501",-91.99984,30.229605,,,,,,,0,8
120,Intersections,3,SIMCOE @ JEFFERSON/SURREY,"801-815,LA-94,Lafayette,LA,US,70501",-92.007809,30.230583000000003,,,,,,,0,8
121,Intersections,4,MOSS @ SIMCOE,"701,E Simcoe St,Lafayette,LA,US,70501",-92.009086,30.230697999999997,,,,,,,0,8
122,Intersections,5,NB THRUWAY @ SIMCOE,"403,NE Evangeline Throughway,Lafayette,LA,US,70501",-92.01309,30.231028000000002,,,,,,,0,8
123,Intersections,6,SB THRUWAY @ SIMCOE,"313,E Simcoe St,Lafayette,LA,US,70501",-92.013766,30.231073,,,,,,,0,8
124,Intersections,7,SIMCOE @ PIERCE,"299,W Simcoe St,Lafayette,LA,US,70501",-92.01880600000001,30.230674,,,,,,,0,8
125,Intersections,8,UNIVERSITY @ AGNES/SIMCOE,"1301-1399,W Simcoe St,Lafayette,LA,US,70501",-92.030451,30.229311,,,,,,,0,8
126,Intersections,9,LOUISIANA @ CARMEL,"101,LA-94,Lafayette,LA,US,70501",-92.0023,30.234571000000003,,,,,,,0,8
127,Intersections,10,LOUISIANA @ MUDD,"1110,Louisiana Ave,Lafayette,LA,US,70501",-92.002689,30.231739,,,,,,,0,8
128,Intersections,11,NB THRUWAY @ LOUISIANA,"208,Louisiana Ave,Lafayette,LA,US,70501",-92.009452,30.224875,,,,,,,0,8
129,Intersections,12,SB THRUWAY @ JOHNSTON,"101,Louisiana Ave,Lafayette,LA,US,70501",-92.010323,30.224559999999997,,,,,,,0,8
130,Intersections,13,JOHNSTON @ CYPRESS/GARFIELD,"201,Johnston St,Lafayette,LA,US,70501",-92.01446800000001,30.22438,,,,,,,0,8
131,Intersections,14,JOHNSTON @ VERMILION,"499,US-167,Lafayette,LA,US,70501",-92.015281,30.223125,,,,,,,0,8
132,Intersections,15,JOHNSTON @ MAIN,"700,US-167,Lafayette,LA,US,70501",-92.016019,30.221970000000002,,,,,,,0,8
133,Intersections,16,JOHNSTON @ JEFFERSON,"1100-1108,Jefferson St,Lafayette,LA,US,70501",-92.017208,30.220095,,,,,,,0,8
134,Intersections,17,JOHNSTON @ UNIVERSITY,"101,LA-182,Lafayette,LA,US,70503",-92.019003,30.217274,,,,,,,0,8
135,Intersections,18,JOHNSTON @ ST MARY,"1500,US-167,Lafayette,LA,US,70503",-92.021742,30.214487,,,,,,,0,8
136,Intersections,19,JOHNSTON @ LEWIS,"1730-1798,US-167,Lafayette,LA,US,70503",-92.025426,30.212282000000002,,,,,,,0,8
137,Intersections,20,JOHNSTON @ ST JULIEN,"1998,US-167,Lafayette,LA,US,70503",-92.026909,30.211509999999997,,,,,,,0,8
138,Intersections,21,JOHNSTON @ COLLEGE,"2701,US-167,Lafayette,LA,US,70503",-92.038364,30.207271000000002,,,,,,,0,8
139,Intersections,22,JOHNSTON @ BERTRAND,"2898,US-167,Lafayette,LA,US,70503",-92.040778,30.205814,,,,,,,0,8
140,Intersections,23,JOHNSTON @ VITAL/DOUCET,"3144-3198,US-167,Lafayette,LA,US,70503",-92.04888100000001,30.203424,,,,,,,0,8
141,Intersections,24,COLLEGE @ PINHOOK,"1631-1699,LA-3025,Lafayette,LA,US,70503",-92.01535600000001,30.201021,,,,,,,0,8
142,Intersections,25,COLLEGE @ COOLIDGE/BENDEL,"1404,S College Rd,Lafayette,LA,US,70503",-92.019356,30.20144,,,,,,,0,8
143,Intersections,26,JOHNSTON @ ARNOULD,"3601,US-167,Lafayette,LA,US,70503",-92.05301999999999,30.201925,,,,,,,0,8
144,Intersections,27,JOHNSTON @ BRENTWOOD,"4200,Johnston St,Lafayette,LA,US,70503",-92.057046,30.196231,,,,,,,0,8
145,Intersections,28,JOHNSTON @ GUILBEAU/CAMELLIA,"4405-4499,US-167,Lafayette,LA,US,70503",-92.058626,30.193734999999997,,,,,,,0,8
146,Intersections,29,JOHNSTON @ LANA,"4573-4603,US-167,Lafayette,LA,US,70503",-92.063576,30.188856,,,,,,,0,8
147,Intersections,30,JOHNSTON @ RIDGE,"5403-5405,US-167,Lafayette,LA,US,70503",-92.071253,30.181365999999997,,,,,,,0,8
148,Intersections,31,JOHNSTON @ AMBASSADOR,"3501,LA-3073,Lafayette,LA,US,70503",-92.074486,30.178089,,,,,,,0,8
149,Intersections,32,THRUWAY @ SURREY/UNIVERSITY,"1806,LA 728-8,Lafayette,LA,US,70508",-91.99951999999999,30.209169,,,,,,,0,8
