devicenum,organization,organizationdevicenum,site,address,longitude,latitude,uniqueidentifier,stathingid,stadatastreamid,iotdeviceid,iotprimarythumbnail,iotsecondarythumbnail,mqttgateway,mqttgroup,locname,locdesc,thname,thdesc,thnetid,thdeploytime,createFoi,dssensorid,dsobspropertyid,dsname,dsdesc,dsmunit,dsmsymbol,dsmdefinition,dsobstype
119,Intersections,74,COLLEGE @ BERTRAND/REINHARDT,"701-735,LA-3025,Lafayette,LA,US,70506",-92.045385,30.212553,,,,,,,0,7,,,,,,,,,,,,,,,
120,Intersections,75,ERASTE LANDRY @ N BERTRAND,"1560-1598,LA-3025,Lafayette,LA,US,70506",-92.052413,30.224725,,,,,,,0,7,,,,,,,,,,,,,,,
121,Intersections,76,BERTRAND @ CONGRESS,"2402,W Congress St,Lafayette,LA,US,70506",-92.046926,30.214905,,,,,,,0,7,,,,,,,,,,,,,,,
122,Intersections,77,CONGRESS @ ST JOHN,"612,W Congress St,Lafayette,LA,US,70501",-92.02285,30.226984,,,,,,,0,7,,,,,,,,,,,,,,,
123,Intersections,78,PINHOOK @ KALISTE SALOOM,"101,E Kaliste Saloom Rd,Lafayette,LA,US,70508",-92.014069,30.188609,,,,,,,0,7,,,,,,,,,,,,,,,
124,Intersections,79,UNIVERSITY @ VERSAILLES,"360-398,Versailles Blvd,Lafayette,LA,US,70501",-92.02728,30.224666,,,,,,,0,7,,,,,,,,,,,,,,,
125,Intersections,80,VERMILION @ LAFAYETTE,"211,W Vermilion St,Lafayette,LA,US,70501",-92.020776,30.224071,,,,,,,0,7,,,,,,,,,,,,,,,
126,Intersections,81,BUCHANAN @ VERMILION,"699,S Buchanan St,Lafayette,LA,US,70501",-92.019788,30.224082,,,,,,,0,7,,,,,,,,,,,,,,,
127,Intersections,82,PINHOOK @ AUDUBON/RIVER RD,"1115,W Pinhook Rd,Lafayette,LA,US,70503",-92.014172,30.203034,,,,,,,0,7,,,,,,,,,,,,,,,
128,Intersections,83,SIMCOE @ ST JOHN,"698,W Simcoe St,Lafayette,LA,US,70501",-92.022867,30.230548,,,,,,,0,7,,,,,,,,,,,,,,,
129,Intersections,84,SB THRUWAY @ TAFT,"104,14th St,Lafayette,LA,US,70501",-92.008171,30.220523,,,,,,,0,7,,,,,,,,,,,,,,,
130,Intersections,85,NB THRUWAY @ 14TH,"121-201,14th St,Lafayette,LA,US,70501",-92.007313,30.22088,,,,,,,0,7,,,,,,,,,,,,,,,
131,Intersections,86,ST MARY @ HEYMANN,"1015,E St Mary Blvd,Lafayette,LA,US,70503",-92.013194,30.20803,,,,,,,0,7,,,,,,,,,,,,,,,
132,Intersections,87,ST MARY @ COOLIDGE,"720-798,Coolidge St,Lafayette,LA,US,70503",-92.013795,30.208483,,,,,,,0,7,,,,,,,,,,,,,,,
133,Intersections,88,ST MARY @ TAFT,"220,Stewart St,Lafayette,LA,US,70501",-92.016009,30.220523,,,,,,,0,7,,,,,,,,,,,,,,,
134,Intersections,89,ST MARY @ MCKINLEY/GIRARD PARK,"600,E St Mary Blvd,Lafayette,LA,US,70503",-92.0177,30.21139,,,,,,,0,7,,,,,,,,,,,,,,,
135,Intersections,90,ST MARY @ HEBRARD,"683-699,Hebrard Blvd,Lafayette,LA,US,70503",-92.019679,30.212926,,,,,,,0,7,,,,,,,,,,,,,,,
136,Intersections,91,ST MARY @ ST LANDRY,"605-699,W St Mary Blvd,Lafayette,LA,US,70506",-92.026315,30.217882,,,,,,,0,7,,,,,,,,,,,,,,,
137,Intersections,92,SURREY @ 12TH,"712,LA 728-8,Lafayette,LA,US,70501",-92.002581,30.226809,,,,,,,0,7,,,,,,,,,,,,,,,
138,Intersections,93,VERMILION @ LEE,"400,E Vermilion St,Lafayette,LA,US,70501",-92.016567,30.224024,,,,,,,0,7,,,,,,,,,,,,,,,
139,Intersections,94,JEFFERSON @ LAMAR,"1335,Jefferson St,Lafayette,LA,US,70501",-92.014444,30.218148,,,,,,,0,7,,,,,,,,,,,,,,,
140,Intersections,95,WILLOW @ CORA,"301-399,Cora St,Lafayette,LA,US,70501",-92.027097,30.245763,,,,,,,0,7,,,,,,,,,,,,,,,
141,Intersections,96,VEROT SCHOOL @ DIGBY,"2279-2299,LA-339,Lafayette,LA,US,70508",-92.026651,30.152634,,,,,,,0,7,,,,,,,,,,,,,,,
142,Intersections,97,KALISTE @ RIVER RANCH,"1803,Kaliste Saloom Rd,Lafayette,LA,US,70508",-92.034288,30.168688,,,,,,,0,7,,,,,,,,,,,,,,,
143,Intersections,98,CAMELLIA @ CAMBRIDGE,"313,Cambridge Dr,Lafayette,LA,US,70503",-92.053629,30.18712,,,,,,,0,7,,,,,,,,,,,,,,,
144,Intersections,99,CONGRESS @ GUILBEAU,"415,Guilbeau Rd,Lafayette,LA,US,70506",-92.07007,30.198256,,,,,,,0,7,,,,,,,,,,,,,,,
145,Intersections,100,BENDEL @ MARGUERITE,"101,Marguerite Blvd,Lafayette,LA,US,70503",-92.018597,30.200826,,,,,,,0,7,,,,,,,,,,,,,,,
146,Intersections,101,PINHOOK @ SAGE GLENN,"2437-2499,LA-182,Lafayette,LA,US,70508",-92.004122,30.180332,,,,,,,0,7,,,,,,,,,,,,,,,
147,Intersections,102,SIMCOE @ ST ANTOINE,"820-898,W Simcoe St,Lafayette,LA,US,70501",-92.024926,30.230551,,,,,,,0,7,,,,,,,,,,,,,,,
148,Intersections,103,ST ANTOINE @ MADELINE,"500-598,N St Antoine St,Lafayette,LA,US,70501",-92.024925,30.238185,,,,,,,0,7,,,,,,,,,,,,,,,
149,Intersections,104,MLK @ ST ANTOINE,"1523-1549,N St Antoine St,Lafayette,LA,US,70501",-92.025527,30.249668,,,,,,,0,7,,,,,,,,,,,,,,,
150,Intersections,105,VEROT SCHOOL @ RUE LOUIS XIV,"1555,Verot School Rd,Lafayette,LA,US,70508",-92.020575,30.165348,,,,,,,0,7,,,,,,,,,,,,,,,
151,Intersections,106,PINHOOK @ VEROT SCHOOL,"151-199,E Verot School Rd,Lafayette,LA,US,70508",-92.00236,30.176732,,,,,,,0,7,,,,,,,,,,,,,,,
152,Intersections,107,AMBASSADOR @ KALISTE,"2517-2603,Kaliste Saloom Rd,Lafayette,LA,US,70508",-92.048334,30.156484,,,,,,,0,7,,,,,,,,,,,,,,,
153,Intersections,108,BERTRAND @ DEVALCOURT,"1101-1103,LA-3025,Lafayette,LA,US,70506",-92.049271,30.218245,,,,,,,0,7,,,,,,,,,,,,,,,
154,Intersections,109,KALISTE SALOOM @ RUE LOUIS XIV,"1235,Kaliste Saloom Rd,Lafayette,LA,US,70508",-92.029834,30.172837,,,,,,,0,7,,,,,,,,,,,,,,,
155,Intersections,110,KALISTE @ BEADLE,"100,S Beadle Rd,Lafayette,LA,US,70508",-92.02247,30.180186,,,,,,,0,7,,,,,,,,,,,,,,,
156,Intersections,111,KALISTE @ E. BAYOU/FEU FOLLET,"445-503,Kaliste Saloom Rd,Lafayette,LA,US,70508",-92.017253,30.182888,,,,,,,0,7,,,,,,,,,,,,,,,
157,Intersections,112,KALISTE @ MARTIAL,"101,E Martial Ave,Lafayette,LA,US,70508",-92.039816,30.164768,,,,,,,0,7,,,,,,,,,,,,,,,
158,Intersections,113,KALISTE @ HUGH WALLIS,"451-499,E Kaliste Saloom Rd,Lafayette,LA,US,70508",-92.005421,30.195733,,,,,,,0,7,,,,,,,,,,,,,,,
159,Intersections,114,JOHNSTON @ GOUDCHAUX,"5754,US-167,Lafayette,LA,US,70503",-92.079563,30.173243,,,,,,,0,7,,,,,,,,,,,,,,,
160,Intersections,115,JOHNSTON @ WESTMARK,"5121-5177,US-167,Lafayette,LA,US,70503",-92.070164,30.182425,,,,,,,0,7,,,,,,,,,,,,,,,
161,Intersections,116,JOHNSTON @ SEARS,"5692-5708,US-167,Lafayette,LA,US,70503",-92.077582,30.175176,,,,,,,0,7,,,,,,,,,,,,,,,
162,Intersections,117,JOHNSTON @ FOREMAN/WOODVALE,"101,Foreman Dr,Lafayette,LA,US,70506",-92.052114,30.202339,,,,,,,0,7,,,,,,,,,,,,,,,
163,Intersections,118,JOHNSTON @ CAJUNDOME/TWINOAKS,"2401,US-167,Lafayette,LA,US,70503",-92.033822,30.209198,,,,,,,0,7,,,,,,,,,,,,,,,
164,Intersections,119,LOUISIANA @ SURREY,"801,Louisiana Ave,Lafayette,LA,US,70501",-92.004598,30.228226,,,,,,,0,7,,,,,,,,,,,,,,,
165,Intersections,120,LOUISIANA @ SIMCOE,"1106,E Simcoe St,Lafayette,LA,US,70501",-92.003017,30.230001,,,,,,,0,7,,,,,,,,,,,,,,,
166,Intersections,121,LOUISIANA @ WILLOW,"2400-2498,Louisiana Ave,Lafayette,LA,US,70501",-92.000348,30.245532,,,,,,,0,7,,,,,,,,,,,,,,,
167,Intersections,122,LOUISIANA @ ALEXANDER,"500-610,E Alexander St,Lafayette,LA,US,70501",-91.999435,30.255102,,,,,,,0,7,,,,,,,,,,,,,,,
168,Intersections,123,WILLOW @ TEURLINGS,"1,Teurlings Dr,Lafayette,LA,US,70501",-91.988932,30.244028,,,,,,,0,7,,,,,,,,,,,,,,,
169,Intersections,124,PINHOOK @ CARMEL,"900-946,LA-94,Lafayette,LA,US,70501",-91.992703,30.233397,,,,,,,0,7,,,,,,,,,,,,,,,
170,Intersections,125,MOSS @ CASTILLE,"1904,Moss St,Lafayette,LA,US,70501",-92.005913,30.248238,,,,,,,0,7,,,,,,,,,,,,,,,
171,Intersections,126,WILLOW @ PIERCE,"306,W Willow St,Lafayette,LA,US,70501",-92.017408,30.245196,,,,,,,0,7,,,,,,,,,,,,,,,
172,Intersections,127,WILLOW @ ST ANTOINE,"1385-1399,N St Antoine St,Lafayette,LA,US,70501",-92.023368,30.245587,,,,,,,0,7,,,,,,,,,,,,,,,
173,Intersections,128,UNIVERSITY @ LA 723 RENAUD,"2200,NE Frontage Rd,Lafayette,LA,US,70501",-92.013821,30.254249,,,,,,,0,7,,,,,,,,,,,,,,,
174,Intersections,129,UNIVERSITY @ I-10 EB,"1618,N University Ave,Lafayette,LA,US,70506",-92.035713,30.250707,,,,,,,0,7,,,,,,,,,,,,,,,
175,Intersections,130,UNIVERSITY @ I-10 WB,"1698,LA-182,Lafayette,LA,US,70507",-92.036362,30.251861,,,,,,,0,7,,,,,,,,,,,,,,,
176,Intersections,131,UNIVERSITY @ WILLOW,"1175-1199,W Willow St,Lafayette,LA,US,70501",-92.032744,30.244492,,,,,,,0,7,,,,,,,,,,,,,,,
177,Intersections,132,AMBASSADOR @ CAMERON,"905,Ambassador Caffery Pkwy,Lafayette,LA,US,70506",-92.062469,30.233061,,,,,,,0,7,,,,,,,,,,,,,,,
178,Intersections,133,PINHOOK @ BENDEL,"1351,W Pinhook Rd,Lafayette,LA,US,70503",-92.01639,30.199103,,,,,,,0,7,,,,,,,,,,,,,,,
179,Intersections,134,CONGRESS @ DOMINGUE,"100,N Domingue Ave,Lafayette,LA,US,70506",-92.08355,30.195855,,,,,,,0,7,,,,,,,,,,,,,,,
180,Intersections,135,AMBASSADOR @ ERASTE LANDRY,"2107,Eraste Landry Rd,Lafayette,LA,US,70506",-92.075858,30.219127,,,,,,,0,7,,,,,,,,,,,,,,,
181,Intersections,136,AMBASSADOR @ DULLES,"1411-1499,Dulles Dr,Lafayette,LA,US,70506",-92.07565,30.210529,,,,,,,0,7,,,,,,,,,,,,,,,
182,Intersections,137,AMBASSADOR @ GUILBEAU,"824,Guilbeau Rd,Lafayette,LA,US,70506",-92.075254,30.202471,,,,,,,0,7,,,,,,,,,,,,,,,
183,Intersections,138,AMBASSADOR @ CONGRESS,"4131-4199,W Congress St,Lafayette,LA,US,70506",-92.075205,30.195991,,,,,,,0,7,,,,,,,,,,,,,,,
184,Intersections,139,AMBASSADOR @ RIDGE,"199,LA-93,Lafayette,LA,US,70506",-92.074993,30.18133,,,,,,,0,7,,,,,,,,,,,,,,,
185,Intersections,140,AMBASSADOR @ ROBLEY,"3801,LA-3073,Lafayette,LA,US,70503",-92.066143,30.171169,,,,,,,0,7,,,,,,,,,,,,,,,
186,Intersections,141,AMBASSADOR @ DOVER,"154,Dover Blvd,Lafayette,LA,US,70503",-92.060954,30.166893,,,,,,,0,7,,,,,,,,,,,,,,,
187,Intersections,142,CONGRESS @ CAJUNDOME,"2339-2345,W Congress St,Lafayette,LA,US,70506",-92.041213,30.218805,,,,,,,0,7,,,,,,,,,,,,,,,
188,Intersections,143,JEFFERSON @ TAFT,"1800-1814,Jefferson St,Lafayette,LA,US,70501",-92.011313,30.215947,,,,,,,0,7,,,,,,,,,,,,,,,
189,Intersections,144,CAMELLIA @ MT VERNON/ACADEMY,"431-437,Camellia Blvd,Lafayette,LA,US,70508",-92.051322,30.184218,,,,,,,0,7,,,,,,,,,,,,,,,
190,Intersections,145,NB THRUWAY @ 2ND,"305-399,E 2nd St,Lafayette,LA,US,70501",-92.012939,30.230515,,,,,,,0,7,,,,,,,,,,,,,,,
191,Intersections,146,SB THRUWAY @ 2ND,"300,E 2nd St,Lafayette,LA,US,70501",-92.013415,30.230326,,,,,,,0,7,,,,,,,,,,,,,,,
192,Intersections,147,UNIVERSITY @ GENERAL MOUTON,"307,E University Ave,Lafayette,LA,US,70501",-92.005487,30.208419,,,,,,,0,7,,,,,,,,,,,,,,,
193,Intersections,148,MOSS @ GLORIA SWITCH,"4598,County Hwy 728-1,Lafayette,LA,US,70507",-92.00732,30.294781,,,,,,,0,7,,,,,,,,,,,,,,,
194,Intersections,149,THRUWAY @ TOWER,"205,Jet Ranger X Dr,Lafayette,LA,US,70508",-92.000663,30.205612,,,,,,,0,7,,,,,,,,,,,,,,,
195,Intersections,150,THRUWAY @ KALISTE,"700,SW Evangeline Thruway,Lafayette,LA,US,70508",-91.999885,30.20078,,,,,,,0,7,,,,,,,,,,,,,,,
196,Intersections,151,AMBASSADOR @ BERTRAND,"1929,Bertrand Dr,Lafayette,LA,US,70506",-92.06231,30.228475,,,,,,,0,7,,,,,,,,,,,,,,,
197,Intersections,152,AMBASSADOR @ DILLARD,"3631,LA-3073,Lafayette,LA,US,70503",-92.069833,30.174213,,,,,,,0,7,,,,,,,,,,,,,,,
198,Intersections,153,THRUWAY @ VEROT SCHOOL,"2628,US-90,Lafayette,LA,US,70508",-91.989827,30.182808,,,,,,,0,7,,,,,,,,,,,,,,,
199,Intersections,154,PINHOOK @ SOUTHPARK,"3527-3555,LA-182,Lafayette,LA,US,70508",-91.991556,30.161042,,,,,,,0,7,,,,,,,,,,,,,,,
200,Intersections,155,THRUWAY @ SOUTHPARK,"151-183,N Southpark Rd,Lafayette,LA,US,70508",-91.979831,30.171388,,,,,,,0,7,,,,,,,,,,,,,,,
201,Intersections,156,AMBASSADOR @ TUCKER,"3611-3621,LA-3073,Lafayette,LA,US,70503",-92.070773,30.174988,,,,,,,0,7,,,,,,,,,,,,,,,
202,Intersections,157,BERTRAND @ ERASTE LANDRY,"1579-1581,LA-3184,Lafayette,LA,US,70506",-92.05469,30.224059,,,,,,,0,7,,,,,,,,,,,,,,,
203,Intersections,158,CONGRESS @ LA 93 RUE DE BELIER,"698,LA-93,Lafayette,LA,US,70506",-92.092023,30.195792,,,,,,,0,7,,,,,,,,,,,,,,,
204,Intersections,159,PINHOOK @ CORPORATE/PINEHURST,"2200,LA-182,Lafayette,LA,US,70508",-92.009347,30.184698,,,,,,,0,7,,,,,,,,,,,,,,,
205,Intersections,160,PINHOOK @ LA RUE FRANCE/JOE OLIVER,"1603,W Pinhook Rd,Lafayette,LA,US,70508",-92.016064,30.194382,,,,,,,0,7,,,,,,,,,,,,,,,
206,Intersections,161,AMBASSADOR @ FERM BOUSTANY,"201,Frem Boustany Dr,Lafayette,LA,US,70508",-92.040591,30.150131,,,,,,,0,7,,,,,,,,,,,,,,,
207,Intersections,162,COLLEGE @ BACQUE CRESENT/COULEE SHORE,"304,Bacque Crescent Dr,Lafayette,LA,US,70503",-92.028919,30.200771,,,,,,,0,7,,,,,,,,,,,,,,,
208,Intersections,163,NB THRUWAY @ DONLON,"1273-1299,US-167,Lafayette,LA,US,70501",-92.01299,30.240253,,,,,,,0,7,,,,,,,,,,,,,,,
209,Intersections,164,SB THRUWAY @ DONLON,"1273-1299,US-167,Lafayette,LA,US,70501",-92.01299,30.240253,,,,,,,0,7,,,,,,,,,,,,,,,
210,Intersections,165,AMBASSADOR @ I-10 W,,-92.065591,30.244894,,,,,,,0,7,,,,,,,,,,,,,,,
211,Intersections,166,AMBASSADOR @ WILLOW,"2198,W Willow St,Scott,LA,US,70583",-92.066244,30.243239,,,,,,,0,7,,,,,,,,,,,,,,,
212,Intersections,167,3RD @ PIERCE GARFIELD 2ND,"251-299,W Second St,Lafayette,LA,US,70501",-92.018781,30.227746,,,,,,,0,7,,,,,,,,,,,,,,,
213,Intersections,168,AMBASSADOR @ VEROT SCHOOL,"5044,LA-3073,Lafayette,LA,US,70508",-92.032533,30.145836,,,,,,,0,7,,,,,,,,,,,,,,,
214,Intersections,169,AMBASSADOR @ BONAIRE,"100-198,Bonaire Dr,Lafayette,LA,US,70506",-92.075083,30.19147,,,,,,,0,7,,,,,,,,,,,,,,,
215,Intersections,170,COLLEGE @ KALISTE,"217-263,E Kaliste Saloom Rd,Lafayette,LA,US,70508",-92.00966,30.193555,,,,,,,0,7,,,,,,,,,,,,,,,
216,Intersections,171,BERTRAND @ DULLES BILLEAU,"1400-1418,LA-3025,Lafayette,LA,US,70506",-92.052199,30.22256,,,,,,,0,7,,,,,,,,,,,,,,,
217,Intersections,172,CONGRESS @ THEATER,"2433,W Congress St,Lafayette,LA,US,70506",-92.049715,30.212986,,,,,,,0,7,,,,,,,,,,,,,,,
218,Intersections,173,AMBASSADOR @ WESTMARK,"299,Westmark Blvd,Lafayette,LA,US,70506",-92.074979,30.184397,,,,,,,0,7,,,,,,,,,,,,,,,
219,Intersections,174,ERASTE LANDRY @ CAJUNDOME,"801,Cajundome Blvd,Lafayette,LA,US,70506",-92.046929,30.227787,,,,,,,0,7,,,,,,,,,,,,,,,
220,Intersections,175,DULLES @ FOREMAN,"537-593,Dulles Dr,Lafayette,LA,US,70506",-92.063161,30.214465,,,,,,,0,7,,,,,,,,,,,,,,,
221,Intersections,176,UNIVERSITY @ HEBRARD,"317,LA-182,Lafayette,LA,US,70503",-92.016977,30.215789,,,,,,,0,7,,,,,,,,,,,,,,,
222,Intersections,177,JOHNSTON @ DUHON ROAD,"6004,Johnston St,Lafayette,LA,US,70503",-92.082879,30.167137,,,,,,,0,7,,,,,,,,,,,,,,,
223,Intersections,178,PINHOOK @ BEAU PRE,"100-198,S Beau Pre Rd,Lafayette,LA,US,70508",-91.997987,30.165645,,,,,,,0,7,,,,,,,,,,,,,,,
224,Intersections,179,PINHOOK @ BONIN,"200-298,Bonin Rd,Lafayette,LA,US,70508",-91.995904,30.164096,,,,,,,0,7,,,,,,,,,,,,,,,
225,Intersections,180,LOUISIANA @ PONT DES MOUTON,,-92.992605,30.272294,,,,,,,0,7,,,,,,,,,,,,,,,
226,Intersections,181,LOUISIANA @ WB I-10 RAMP,,-92.992432,30.26863,,,,,,,0,7,,,,,,,,,,,,,,,
227,Intersections,182,UNIVERSITY @ PONT DES MOUTON,"2701,N University Ave,Lafayette,LA,US,70507",-92.049477,30.275891,,,,,,,0,7,,,,,,,,,,,,,,,
228,Intersections,183,CAMELLIA @ KALISTE,"1329,Camellia Blvd,Lafayette,LA,US,70508",-92.035791,30.167269,,,,,,,0,7,,,,,,,,,,,,,,,
229,Intersections,184,VEROT SCHOOL @ CAMELLIA,"1905,LA-339,Lafayette,LA,US,70508",-92.022593,30.160365,,,,,,,0,7,,,,,,,,,,,,,,,
230,Intersections,185,E GLORIA SWITCH @ I-49 NB RAMP,"101,E Gloria Switch Rd,Lafayette,LA,US,70507",-92.02448,30.295537,,,,,,,0,7,,,,,,,,,,,,,,,
231,Intersections,186,E GLORIA SWITCH @ I-49 FRONTAGE RD,,-92.023611,30.295499,,,,,,,0,7,,,,,,,,,,,,,,,
232,Intersections,187,AMBASSADOR @ WALMART ACCESS RD,"3127-3147,LA-3073,Lafayette,LA,US,70506",-92.07493,30.188366,,,,,,,0,7,,,,,,,,,,,,,,,
233,Intersections,188,THRUWAY @ CASTILLE,"2014,NE Evangeline Throughway,Lafayette,LA,US,70501",-92.012788,30.24981,,,,,,,0,7,,,,,,,,,,,,,,,
234,Intersections,189,AMBASSADOR @ Settlers trace,,-92.052001,30.159753,,,,,,,0,7,,,,,,,,,,,,,,,
235,Intersections,190,MARTIAL @ SETTLERS TRACE,"401,Settlers Trace Blvd,Lafayette,LA,US,70508",-92.042499,30.166829,,,,,,,0,7,,,,,,,,,,,,,,,
236,Intersections,191,CAMELLIA @ SETTLERS TRACE,"1249,Camellia Blvd,Lafayette,LA,US,70508",-92.038837,30.170069,,,,,,,0,7,,,,,,,,,,,,,,,
237,Intersections,192,CAMELLIA @ SILVERSTONE,"1201,Camellia Blvd,Lafayette,LA,US,70508",-92.040025,30.172986,,,,,,,0,7,,,,,,,,,,,,,,,
238,Intersections,193,KALISTE SALOOM @ LAKE FARM RD,"2319,Kaliste Saloom Rd,Lafayette,LA,US,70508",-92.045517,30.159331,,,,,,,0,7,,,,,,,,,,,,,,,
239,Intersections,194,AMBASSADOR @ CRESENT RANCH BLVD,"4589-4799,LA-3073,Lafayette,LA,US,70508",-92.044339,30.153175,,,,,,,0,7,,,,,,,,,,,,,,,
240,Intersections,195,AMBASSADOR @ VA CLINIC,"3146,Ambassador Caffery Pkwy,Lafayette,LA,US,70506",-92.075027,30.18687,,,,,,,0,7,,,,,,,,,,,,,,,
